Date,Publisher,Title,Link,
6-Mar-21,CNN,Spring break could be a perfect storm for spreading coronavirus variants. Don't let that happen - CNN,https://news.google.com/__i/rss/rd/articles/CBMiTmh0dHBzOi8vd3d3LmNubi5jb20vMjAyMS8wMy8wNi9oZWFsdGgvc3ByaW5nLWJyZWFrLTIwMjEtY29yb25hdmlydXMvaW5kZXguaHRtbNIBUmh0dHBzOi8vYW1wLmNubi5jb20vY25uLzIwMjEvMDMvMDYvaGVhbHRoL3NwcmluZy1icmVhay0yMDIxLWNvcm9uYXZpcnVzL2luZGV4Lmh0bWw?oc=5,
6-Mar-21,The Associated Press,Europe staggers as infectious variants power virus surge - The Associated Press,https://news.google.com/__i/rss/rd/articles/CBMibGh0dHBzOi8vYXBuZXdzLmNvbS9hcnRpY2xlL2V1cm9wZS1lbmdsYW5kLWNvcm9uYXZpcnVzLXBhbmRlbWljLWZyYW5jZS1taWxhbi0yYjRlOGM1MDkyZGI5MmMzODE5NDg4NGE0YjgwNDllNNIBAA?oc=5,
6-Mar-21,The Wall Street Journal,Covid-19 Pill Shows Promise in Preliminary Testing - The Wall Street Journal,https://news.google.com/__i/rss/rd/articles/CBMiW2h0dHBzOi8vd3d3Lndzai5jb20vYXJ0aWNsZXMvY292aWQtMTktcGlsbC1zaG93cy1wcm9taXNlLWluLXByZWxpbWluYXJ5LXRlc3RpbmctMTE2MTUwMDY4NjHSAQA?oc=5,
5-Mar-21,NBC News,CDC delays guidance for vaccinated Americans as new Covid-19 cases stall - NBC News,https://news.google.com/__i/rss/rd/articles/CBMidWh0dHBzOi8vd3d3Lm5iY25ld3MuY29tL2hlYWx0aC9oZWFsdGgtbmV3cy9jZGMtZGVsYXlzLWd1aWRhbmNlLXZhY2NpbmF0ZWQtYW1lcmljYW5zLW5ldy1jb3ZpZC0xOS1jYXNlcy1zdGFsbC1uMTI1OTcxOdIBLGh0dHBzOi8vd3d3Lm5iY25ld3MuY29tL25ld3MvYW1wL25jbmExMjU5NzE5?oc=5,
5-Mar-21,The New York Times,How Rhode Island Fell to the Coronavirus - The New York Times,https://news.google.com/__i/rss/rd/articles/CBMiR2h0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMjEvMDMvMDUvaGVhbHRoL2Nvcm9uYXZpcnVzLXJob2RlLWlzbGFuZC5odG1s0gFLaHR0cHM6Ly93d3cubnl0aW1lcy5jb20vMjAyMS8wMy8wNS9oZWFsdGgvY29yb25hdmlydXMtcmhvZGUtaXNsYW5kLmFtcC5odG1s?oc=5,
6-Mar-21,USA TODAY,'Weight isn't always within your control': Why some states are prioritizing obesity patients for the COVID-19 vaccine - USA TODAY,https://news.google.com/__i/rss/rd/articles/CBMifmh0dHBzOi8vd3d3LnVzYXRvZGF5LmNvbS9zdG9yeS9uZXdzL2hlYWx0aC8yMDIxLzAzLzA2L2NvdmlkLXZhY2NpbmUtY2RjLXN0YXRlcy1wcmlvcml0aXplLXBlb3BsZS1vYmVzaXR5LWhlcmVzLXdoeS82ODgzMjM1MDAyL9IBJ2h0dHBzOi8vYW1wLnVzYXRvZGF5LmNvbS9hbXAvNjg4MzIzNTAwMg?oc=5,
6-Mar-21,Al Jazeera English,Protests erupt over Paraguay’s handling of COVID-19 - Al Jazeera English,https://news.google.com/__i/rss/rd/articles/CBMiZWh0dHBzOi8vd3d3LmFsamF6ZWVyYS5jb20vbmV3cy8yMDIxLzMvNi9wYXJhZ3VheS1wcm90ZXN0cy1lcnVwdC1vdmVyLWdvdmVybm1lbnRzLWhhbmRsaW5nLW9mLWNvdmlkLTE50gFpaHR0cHM6Ly93d3cuYWxqYXplZXJhLmNvbS9hbXAvbmV3cy8yMDIxLzMvNi9wYXJhZ3VheS1wcm90ZXN0cy1lcnVwdC1vdmVyLWdvdmVybm1lbnRzLWhhbmRsaW5nLW9mLWNvdmlkLTE5?oc=5,
6-Mar-21,KCCI Des Moines,COVID-19 hospitalizations continue downward trend - KCCI Des Moines,https://news.google.com/__i/rss/rd/articles/CBMiV2h0dHBzOi8vd3d3LmtjY2kuY29tL2FydGljbGUvY292aWQtMTktaG9zcGl0YWxpemF0aW9ucy1jb250aW51ZS1kb3dud2FyZC10cmVuZC8zNTc0OTMyNtIBW2h0dHBzOi8vd3d3LmtjY2kuY29tL2FtcC9hcnRpY2xlL2NvdmlkLTE5LWhvc3BpdGFsaXphdGlvbnMtY29udGludWUtZG93bndhcmQtdHJlbmQvMzU3NDkzMjY?oc=5,
5-Mar-21,The New York Times,Opinion ," Black People Need Better Covid-19 Vaccine Access, Not Better Vaccine Attitudes - The New York Times",https://news.google.com/__i/rss/rd/articles/CBMiRWh0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMjEvMDMvMDUvb3Bpbmlvbi91cy1jb3ZpZC1ibGFjay1wZW9wbGUuaHRtbNIBSWh0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMjEvMDMvMDUvb3Bpbmlvbi91cy1jb3ZpZC1ibGFjay1wZW9wbGUuYW1wLmh0bWw?oc=5
6-Mar-21,The Washington Post,Your employer can ask whether you’ve received the coronavirus vaccine — and even require it - The Washington Post,https://news.google.com/__i/rss/rd/articles/CBMiVWh0dHBzOi8vd3d3Lndhc2hpbmd0b25wb3N0LmNvbS9saWZlc3R5bGUvMjAyMS8wMy8wNi93b3JrcGxhY2UtY292aWQtdmFjY2luZS1wb2xpY2llcy_SAWRodHRwczovL3d3dy53YXNoaW5ndG9ucG9zdC5jb20vbGlmZXN0eWxlLzIwMjEvMDMvMDYvd29ya3BsYWNlLWNvdmlkLXZhY2NpbmUtcG9saWNpZXMvP291dHB1dFR5cGU9YW1w?oc=5,
5-Mar-21,Livescience.com,Why is China giving travelers anal tests for COVID-19? - Livescience.com,https://news.google.com/__i/rss/rd/articles/CBMiOmh0dHBzOi8vd3d3LmxpdmVzY2llbmNlLmNvbS9hbmFsLXRlc3RzLWNvdmlkLTE5LWNoaW5hLmh0bWzSAT5odHRwczovL3d3dy5saXZlc2NpZW5jZS5jb20vYW1wL2FuYWwtdGVzdHMtY292aWQtMTktY2hpbmEuaHRtbA?oc=5,
6-Mar-21,BBC News,England's coronavirus vaccine rollout in maps - BBC News,https://news.google.com/__i/rss/rd/articles/CBMiLGh0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy91ay1lbmdsYW5kLTU2MjkzODM50gEwaHR0cHM6Ly93d3cuYmJjLmNvbS9uZXdzL2FtcC91ay1lbmdsYW5kLTU2MjkzODM5?oc=5,
6-Mar-21,Seattle Times,"Coronavirus daily news updates, March 6: What to know today about COVID-19 in the Seattle area, Washington state and the world - Seattle Times",https://news.google.com/__i/rss/rd/articles/CBMirQFodHRwczovL3d3dy5zZWF0dGxldGltZXMuY29tL3NlYXR0bGUtbmV3cy9oZWFsdGgvY29yb25hdmlydXMtZGFpbHktbmV3cy11cGRhdGVzLW1hcmNoLTYtd2hhdC10by1rbm93LXRvZGF5LWFib3V0LWNvdmlkLTE5LWluLXRoZS1zZWF0dGxlLWFyZWEtd2FzaGluZ3Rvbi1zdGF0ZS1hbmQtdGhlLXdvcmxkL9IBswFodHRwczovL3d3dy5zZWF0dGxldGltZXMuY29tL3NlYXR0bGUtbmV3cy9oZWFsdGgvY29yb25hdmlydXMtZGFpbHktbmV3cy11cGRhdGVzLW1hcmNoLTYtd2hhdC10by1rbm93LXRvZGF5LWFib3V0LWNvdmlkLTE5LWluLXRoZS1zZWF0dGxlLWFyZWEtd2FzaGluZ3Rvbi1zdGF0ZS1hbmQtdGhlLXdvcmxkLz9hbXA9MQ?oc=5,
